Architecture,Run,Instance_ID,Success,Status,NN_Time_s,IPOPT_Time_s,Total_Online_Time_s,Cold_IPOPT_Time_s,Cold_IPOPT_Cost,Speedup,Feasible_Cost,Feasible_Obj_Gap_pct,Bus
PINN Baseline,1,0,True,optimal,5.065882946328165e-05,0.7789740000007441,0.7790246588302074,1.5054004000048735,108877.06699201684,1.9324168791593843,108877.06699201708,2.2721273241166133e-13,162
PINN Baseline,1,1,True,optimal,5.065882946328165e-05,0.7001145000031102,0.7001651588325735,1.0286236999963876,106536.90425691998,1.4691158036362055,106536.90425692,1.3659037053746236e-14,162
PINN Baseline,1,2,True,optimal,5.065882946328165e-05,0.7789138999942224,0.7789645588236858,1.2776576000032946,107936.09809244584,1.6401999109339265,107936.09809244584,0.0,162
PINN Baseline,1,3,True,optimal,5.065882946328165e-05,0.809044299996458,0.8090949588259213,1.6070391999965068,109950.7428840054,1.9862182831153508,109950.74288400538,-2.646988068778884e-14,162
PINN Baseline,1,4,True,optimal,5.065882946328165e-05,0.8530644999991637,0.853115158828627,1.4937926000056905,108416.29622841049,1.7509858833791538,108416.29622841056,8.053354929802623e-14,162
PINN Baseline,1,5,True,optimal,5.065882946328165e-05,0.7568543999950634,0.7569050588245267,1.6711823000005095,106403.68898657482,2.2079153528130133,106403.68898661144,3.44091629371896e-11,162
PINN Baseline,1,6,True,optimal,5.065882946328165e-05,0.7119937999959802,0.7120444588254435,1.3832026000018232,107600.81928998316,1.9425789820533,107600.81928998388,6.761990905082973e-13,162
PINN Baseline,1,7,True,optimal,5.065882946328165e-05,0.6546088999966742,0.6546595588261375,1.3666271999973103,109424.13910255164,2.08753875441427,109424.13910255162,-2.65972670156973e-14,162
PINN Baseline,1,8,True,optimal,5.065882946328165e-05,0.8068703999961144,0.8069210588255777,1.3333998000016436,108880.72973914845,1.65245383723449,108880.72973914834,-9.355503663743597e-14,162
PINN Baseline,1,9,True,optimal,5.065882946328165e-05,0.6904281999959494,0.6904788588254127,1.3155904000013834,108583.92800231524,1.905330457531112,108583.92800231512,-1.206138325116671e-13,162
PINN Baseline,1,10,True,optimal,5.065882946328165e-05,0.8789017999952193,0.8789524588246826,1.320829700001923,109353.15892727482,1.502731674211492,109353.15892727509,2.2622351407951365e-13,162
PINN Baseline,1,11,True,optimal,5.065882946328165e-05,0.7597594000035315,0.7598100588329948,1.3919179000004078,110244.58336207352,1.8319287614305584,110244.58336207308,-3.9598993758925177e-13,162
PINN Baseline,1,12,True,optimal,5.065882946328165e-05,1.0381553000042911,1.0382059588337549,1.3535585999998148,110056.59072300278,1.3037476701831925,110056.59072300284,5.2888846120963397e-14,162
PINN Baseline,1,13,True,optimal,5.065882946328165e-05,0.9343874999976832,0.9344381588271466,1.3424639999939243,108689.0877465444,1.4366536590060797,108689.08774655368,8.528519461020497e-12,162
PINN Baseline,1,14,True,optimal,5.065882946328165e-05,0.9099715999982436,0.9100222588277068,1.3471810999981244,107481.16739226849,1.4803825806783744,107481.16739226817,-2.843197810462991e-13,162
PINN Baseline,1,15,True,optimal,5.065882946328165e-05,0.7898958000005223,0.7899464588299856,0.760386699999799,114609.23195186708,0.9625800476731442,114609.2319518684,1.1681224786254584e-12,162
PINN Baseline,1,16,True,optimal,5.065882946328165e-05,0.7195981999975629,0.7196488588270262,0.8325140999950236,107621.30714094346,1.156833766612177,107621.3071409435,4.056422175576063e-14,162
PINN Baseline,1,17,True,optimal,5.065882946328165e-05,0.8264901000002283,0.8265407588296916,1.4004532000035397,105529.92146637676,1.6943546764547428,105529.9214663765,-2.482087264644266e-13,162
PINN Baseline,1,18,True,optimal,5.065882946328165e-05,0.6834639000007883,0.6835145588302516,1.252932299998065,102959.30537203896,1.8330733176222311,102959.30537203838,-5.653462861189337e-13,162
PINN Baseline,1,19,True,optimal,5.065882946328165e-05,0.7862645999994129,0.7863152588288762,1.2476069999975152,111709.7505174878,1.5866498659274126,111709.75051748785,3.9079619713470215e-14,162
PINN Baseline,1,20,True,optimal,5.065882946328165e-05,0.7644485999990138,0.7644992588284771,1.283980899999733,105053.42757572276,1.679505748595901,105053.427575723,2.2163069690043647e-13,162
PINN Baseline,1,21,True,optimal,5.065882946328165e-05,0.8491303000046173,0.8491809588340806,1.2553584999986924,108219.6993997058,1.478316826277276,108219.69939970574,-5.37865668046992e-14,162
PINN Baseline,1,22,True,optimal,5.065882946328165e-05,0.8057704000020749,0.8058210588315382,1.294100499995693,108265.78206815437,1.605940283903939,108265.78206815408,-2.419365279656993e-13,162
PINN Baseline,1,23,True,optimal,5.065882946328165e-05,0.9173718999954872,0.9174225588249504,1.3003291999993962,105270.67699640666,1.4173721667198578,105270.67699640576,-8.708699189028727e-13,162
PINN Baseline,1,24,True,optimal,5.065882946328165e-05,0.7015987999984645,0.7016494588279278,1.3277163000020664,106589.74604891746,1.8922786632230195,106589.74604891754,8.191359357412397e-14,162
PINN Baseline,1,25,True,optimal,5.065882946328165e-05,0.7764326000033179,0.7764832588327812,1.3147222999978112,110737.47416280225,1.6931753325552918,110737.47416280225,-1.3140913081485992e-14,162
PINN Baseline,1,26,True,optimal,5.065882946328165e-05,0.769531800004188,0.7695824588336513,1.4214618999976665,111660.31324364616,1.847056002487346,111660.31324364708,8.340676714593346e-13,162
PINN Baseline,1,27,True,optimal,5.065882946328165e-05,0.7307508000012604,0.7308014588307237,1.2976337000000058,103882.4835823104,1.7756309655925004,103882.48358231293,2.423393480492561e-12,162
PINN Baseline,1,28,True,optimal,5.065882946328165e-05,0.8272941000032006,0.8273447588326639,1.3562190999946324,109737.50820332248,1.6392429945506393,109737.5082033219,-5.304263042461272e-13,162
PINN Baseline,1,29,True,optimal,5.065882946328165e-05,0.8208071999979438,0.8208578588274071,1.1308921000018015,105262.71294438971,1.3776954046797791,105262.71294438816,-1.493032813522391e-12,162
PINN Baseline,1,30,True,optimal,5.065882946328165e-05,0.7726199999960954,0.7726706588255587,1.2344813000017894,110160.9889327524,1.597681089480183,110160.9889327523,-7.925808602126865e-14,162
PINN Baseline,1,31,True,optimal,5.065882946328165e-05,0.7170507999981055,0.7171014588275688,1.3525374999953783,109013.0930977016,1.88611734552419,109013.09309770164,4.0046332458409055e-14,162
PINN Baseline,1,32,True,optimal,5.065882946328165e-05,0.8751510000001872,0.8752016588296505,1.5861574000009568,112654.19799981808,1.812333630768045,112654.1979998175,-5.296105559812377e-13,162
PINN Baseline,1,33,True,optimal,5.065882946328165e-05,0.8289405000032275,0.8289911588326908,1.3193363000027605,107678.96105490172,1.5914962251956082,107678.9610544936,-3.7899131517088767e-10,162
